
TimeEdit,Linköpings universitet
"Y3.a, CIV ING UTB TEKNISK FYSIK O ELEKTROTEKNIK",2018-07-30 - 2019-07-01,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Lokal,Undervisningstyp,Lärare,Studentgrupp,Fria grupper,Information till student,Studentförening,URL 
2018-09-28,10:15,2018-09-28,12:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-09-28,10:15,2018-09-28,12:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-09-28,15:15,2018-09-28,17:00,TAMS24,S18,Lektion,Denise Uwamariya,Y3.a,,,,
2018-10-01,08:15,2018-10-01,10:00,TDDC76,C4,Föreläsning,Klas Arvidsson,"FyN3,MAT3,MED3,Y3.a,Y3.b,Y3.c,Yi3",,"Stoff inför lab 3 (objektorientering, polymorfi)",,
2018-10-01,10:15,2018-10-01,12:00,TFYA43,E330*,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-01,15:15,2018-10-01,17:00,TAMS24,"BOREN,HUNN",Laboration,Denise Uwamariya,Y3.a,,,,
2018-10-02,08:15,2018-10-02,10:00,TATA77,C3,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-10-02,10:15,2018-10-02,12:00,TDDC76,P18,Seminarium,Lukas Pohlman,"FyN3,MAT3,MED3,Y3,Yi3",Grupp B,Assistentledd användning av stoff inför lab 3,,
2018-10-02,10:15,2018-10-02,12:00,TDDC76,R19,Seminarium,William Stenberg,"FyN3,MAT3,MED3,Y3,Yi3",Grupp D,Assistentledd användning av stoff inför lab 3,,
2018-10-02,10:15,2018-10-02,12:00,TDDC76,U14,Seminarium,Frida Flodin,"FyN3,MAT3,MED3,Y3,Yi3",Grupp A,Assistentledd användning av stoff inför lab 3,,
2018-10-02,10:15,2018-10-02,12:00,TDDC76,U15,Seminarium,Oskar Holmström,"FyN3,MAT3,MED3,Y3,Yi3",Grupp C,Assistentledd användning av stoff inför lab 3,,
2018-10-02,13:15,2018-10-02,15:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-02,15:00,2018-10-02,19:00,,,Studentförening,,"MED1,MED2,MED3,Y1,Y2,Y3,Yi1,Yi2,Yi3",,Y-pub i Gasquen,"Y-sektionen, Teknisk Fysik och Elektroteknik",
2018-10-03,08:15,2018-10-03,10:00,TAMS24,C2,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
